,Code,Borough,Month,Average Price,Year
568,E09000008,Croydon,2,309624.0,2015
569,E09000009,Ealing,2,506192.0,2015
570,E09000010,Enfield,2,363178.0,2015
571,E09000011,Greenwich,2,372918.0,2015
572,E09000012,Hackney,2,507517.0,2015
573,E09000013,Hammersmith and Fulham,2,905688.0,2015
574,E09000014,Haringey,2,550309.0,2015
575,E09000015,Harrow,2,439137.0,2015
576,E09000016,Havering,2,289735.0,2015
577,E09000017,Hillingdon,2,361820.0,2015
578,E09000018,Hounslow,2,429653.0,2015
579,E09000019,Islington,2,686294.0,2015
580,E09000020,Kensington and Chelsea,2,1951467.0,2015
581,E09000021,Kingston upon Thames,2,480285.0,2015
582,E09000022,Lambeth,2,536969.0,2015
583,E09000023,Lewisham,2,372867.0,2015
584,E09000024,Merton,2,554909.0,2015
585,E09000025,Newham,2,279696.0,2015
586,E09000026,Redbridge,2,350041.0,2015
587,E09000027,Richmond upon Thames,2,743646.0,2015
588,E09000028,Southwark,2,535907.0,2015
589,E09000029,Sutton,2,330233.0,2015
590,E09000030,Tower Hamlets,2,446399.0,2015
591,E09000031,Waltham Forest,2,344912.0,2015
592,E09000032,Wandsworth,2,691864.0,2015
593,E09000033,Westminster,2,1490360.0,2015
594,E09000001,City of London,4,917176.0,2015
595,E09000002,Barking and Dagenham,4,223645.0,2015
596,E09000003,Barnet,4,548792.5,2015
597,E09000004,Bexley,4,276264.5,2015
598,E09000005,Brent,4,486193.5,2015
599,E09000006,Bromley,4,414158.5,2015
